"","wkt_words"
"1","aðaçkakan"
"2","aðaçlýk"
"3","aðartý"
"4","aðartma"
"5","aðb"
"6","aðda"
"7","aðdacý"
"8","aðdam"
"9","aðdan"
"10","aðdasý"
"11","aðý"
"12","aðýl"
"13","aðýrbaþlýlýk"
"14","aðýrlýk"
"15","aðýrþak"
"16","aðýþ"
"17","aðýt"
"18","aðýtçý"
"19","aðýz"
"20","aðlama"
"21","aðrý"
"22","aðustos"
"23","aðustos böceði"
"24","ahali"
"25","ahar"
"26","aharlama"
"27","ahbap"
"28","ahenk"
"29","ahýr"
"30","ahiret"
"31","ahize"
"32","ahkâm"
"33","ahlak"
"34","ahlat"
"35","ahmak"
"36","ahpun"
"37","ahtapot"
"38","ahududu"
"39","ahval"
"40","aikido"
"41","aile"
"42","aile planlamasý"
"43","airbag"
"44","ajan"
"45","ajanda"
"46","ajans"
"47","ajitasyon"
"48","ajitatör"
"49","ak"
"50","ak kanatlý duika ispinozu"
"51","akademi"
"52","akademisyen"
"53","akar"
"54","akarsu"
"55","akaryakýt"
"56","akasya"
"57","akbaba"
"58","akbil"
"59","akciðer"
"60","akciðer anjiyografisi"
"61","akçaaðaç"
"62","akdoðan"
"63","aký"
"64","akýbet"
"65","akýl"
"66","akým"
"67","akýn"
"68","akýþ"
"69","akýþkan"
"70","akýþkanlaþtýrýcý"
"71","akifer"
"72","akik"
"73","akis"
"74","akne"
"75","akompanyatör"
"76","akor"
"77","akosmizm"
"78","akraba"
"79","akreditasyon"
"80","akreditif"
"81","akrep"
"82","akrobat"
"83","akrobatlýk"
"84","akrofobi"
"85","akromatin"
"86","akromatopsi"
"87","akromegali"
"88","akropol"
"89","akrostiþ"
"90","aks"
"91","aksakal"
"92","aksan"
"93","akselerasyon"
"94","akseptans"
"95","aksesuar"
"96","aksiseda"
"97","aksiyon"
"98","aksülamel"
"99","akþam"
"100","akþam yemeði"
"101","akþamdan kalma"
"102","aktiflik"
"103","aktinit"
"104","aktinyum"
"105","aktivasyon"
"106","aktivite"
"107","aktör"
"108","aktris"
"109","aktüalite"
"110","akustik"
"111","akuzatif"
"112","akü"
"113","akümülatör"
"114","akvarel"
"115","akvaryum"
"116","al"
"117","alabalýk"
"118","alabalýkgiller"
"119","alabanda"
"120","alaca"
"121","alaca baykuþ"
"122","alaca karanlýk"
"123","alacabalýkçýl"
"124","alacak"
"125","alacakaranlýk"
"126","alageyik"
"127","alaka"
"128","alakarga"
"129","alamecek"
"130","alamet"
"131","alan"
"132","alarga"
"133","alarm"
"134","alaþým"
"135","alay"
"136","alazlama"
"137","albatros"
"138","albay"
"139","albaylýk"
"140","albüm"
"141","alçaklýk"
"142","alçý"
"143","alem"
"144","alerji"
"145","alet"
"146","alev"
"147","Alevi"
"148","aleyh"
"149","aleyhtar"
"150","alfa sürümü"
"151","alfabe"
"152","algý"
"153","algoloji"
"154","algoritma"
"155","alýcý"
"156","alýç"
"157","alým"
"158","alýn"
"159","alýn teri"
"160","Alýp"
"161","alýþtýrma"
"162","alýþveriþ"
"163","alivre"
"164","alkali"
"165","alkaloit"
"166","alkým"
"167","alkýþ"
"168","alkýþçý"
"169","alkol"
"170","alkolik"
"171","alkolizm"
"172","alkolölçer"
"173","Allah"
"174","allýk"
"175","allopati"
"176","alma"
"177","almaç"
"178","almanak"
"179","almaþ"
"180","alnaç"
"181","alokasyon"
"182","alpaka"
"183","alperen"
"184","alþimi"
"185","alþimist"
"186","alt"
"187","alt kavram"
"188","altdil"
"189","altdizin"
"190","alternatif"
"191","alternatör"
"192","altýgen"
"193","altýlý"
"194","altýn"
"195","altýn sinek"
"196","altýncýlýk"
"197","altýntop"
"198","altýparmak"
"199","altýpatlar"
"200","altmýþ"
"201","altmýþ altý"
"202","altmýþ beþ"
"203","altmýþ bir"
"204","altmýþ dokuz"
"205","altmýþ dört"
"206","altmýþ iki"
"207","altmýþ sekiz"
"208","altmýþ üç"
"209","altmýþ yedi"
"210","altrüist"
"211","altrüizm"
"212","altsýnýf"
"213","altuni iskete"
"214","altyapý"
"215","alümin"
"216","alüminyum"
"217","alüvyon"
"218","alveol"
"219","alyan"
"220","alyans"
"221","alyuvar"
"222","am"
"223","amaç"
"224","aman"
"225","amatör"
"226","ambalaj"
"227","ambalajcý"
"228","ambar"
"229","ambarcý"
"230","ambargo"
"231","amber"
"232","amberbaris"
"233","ambiyans"
"234","amblem"
"235","amboli"
"236","ambulans"
"237","ambülans"
"238","amca"
"239","amcalýk"
"240","amcaoðlu"
"241","amcýk"
"242","amele"
"243","amelimanda"
"244","ameliyat"
"245","ameliyathane"
"246","ameliye"
"247","Amerika sakasý"
"248","Amerikan sakasý"
"249","amerikyum"
"250","ametist"
"251","amfibi"
"252","amfibol"
"253","amfiteatr"
"254","amfizem"
"255","amfora"
"256","amino asit"
"257","aminoasit"
"258","amip"
"259","amir"
"260","amiral"
"261","amirallik"
"262","amirlik"
"263","amnezi"
"264","amonyak"
"265","amonyum"
"266","amorti"
"267","amortisman"
"268","amortisör"
"269","amper"
"270","ampermetre"
"271","ampirist"
"272","amplifikatör"
"273","ampul"
"274","ampütasyon"
"275","amsalak"
"276","amut"
"277","amyant"
"278","an"
"279","ana"
"280","ana bina"
"281","ana dil"
"282","ana dili"
"283","ana fikir"
"284","anabolizma"
"285","anacýk"
"286","anadil"
"287","anaerki"
"288","anaerkillik"
"289","anafaz"
"290","anafor"
"291","anaforcu"
"292","anaforculuk"
"293","anaforlama"
"294","anahtar"
"295","anahtar kelime"
"296","anahtar söz"
"297","anahtar sözcük"
"298","anahtarlýk"
"299","anakronizm"
"300","analýk"
"301","analitik geometri"
"302","analiz"
"303","analizör"
"304","analoji"
"305","ananas"
"306","anane"
"307","anarat"
"308","anarþi"
"309","anasýr"
"310","anasýzlýk"
"311","anason"
"312","anatomi"
"313","anayasa"
"314","and"
"315","Andorralý"
"316","anemi"
"317","anestezi"
"318","angajman"
"319","Angolalý"
"320","angut"
"321","aný"
"322","anýt"
"323","anýz"
"324","animasyon"
"325","animizm"
"326","anjiyo"
"327","anjiyografi"
"328","Anka"
"329","anket"
"330","anketör"
"331","anklav"
"332","ankraj"
"333","anksiyete"
"334","anlam"
"335","anlama"
"336","anlambilim"
"337","anlamsýz"
"338","anlatýcý"
"339","anlatým"
"340","anlatma"
"341","anlayýþ"
"342","anlýk"
"343","anma"
"344","anne"
"345","anne-baba"
"346","anneanne"
"347","annelik"
"348","anofel"
"349","anomali"
"350","anonim þirketi"
"351","anons"
"352","anonsör"
"353","anorak"
"354","anorganik kimya"
"355","anormallik"
"356","ansambl"
"357","ansiklopedi"
"358","ansiklopedist"
"359","ant"
"360","antagonist"
"361","antant"
"362","anten"
"363","anterograf"
"364","antet"
"365","antibiyotik"
"366","antidot"
"367","antika"
"368","antilop"
"369","antioksidan"
"370","antisemit"
"371","antlaþma"
"372","antrakt"
"373","antrasit"
"374","antre"
"375","antrenman"
"376","antrenör"
"377","antrepo"
"378","antrikot"
"379","antropolog"
"380","antropoloji"
"381","antropomorfizm"
"382","anturaj"
"383","anüs"
"384","anyon"
"385","aort"
"386","apa"
"387","apandisit"
"388","aparey"
"389","aparkat"
"390","apartýman"
"391","apartman"
"392","apartman binasý"
"393","apartman dairesi"
"394","aplikasyon"
"395","apostrof"
"396","apron"
"397","apse"
"398","aptal"
"399","aptallýk"
"400","ar"
"401","ara"
"402","ara bulucu"
"403","araba"
"404","arabulucu"
"405","araç"
"406","araç durumu"
"407","araç hali"
"408","araç hâli"
"409","araf"
"410","araknofobi"
"411","aral"
"412","aralýk"
"413","arama motoru"
"414","ararot"
"415","araþtýrma"
"416","arayüz"
"417","arazöz"
"418","arbitraj"
"419","ardala"
"420","ardýç"
"421","areografi"
"422","areoloji"
"423","argo"
"424","argon"
"425","argüman"
"426","arý"
"427","arý kuþu"
"428","arýcý"
"429","arýcýlýk"
"430","arýstak"
"431","arýza"
"432","arýzaya dayanýklýlýk"
"433","arife"
"434","aritmetik"
"435","arka"
"436","arkabahçe"
"437","arkadaþ"
"438","arkadaþ grubu"
"439","arkadaþlýk"
"440","arkaizm"
"441","arkalýk"
"442","arkeolog"
"443","arkeoloji"
"444","armaðan"
"445","armatür"
"446","armoni"
"447","armonika"
"448","armut"
"449","armut aðacý"
"450","arp"
"451","arpa"
"452","arpa suyu"
"453","arpað"
"454","arpej"
"455","arsa"
"456","arsenik"
"457","arslan"
"458","arþe"
"459","arþýn"
"460","arþidük"
"461","arþiv"
"462","art"
"463","artçý deprem"
"464","artçý sarsýntý"
"465","artçý þok"
"466","artý"
"467","artýk"
"468","artýk yýl"
"469","artýrma"
"470","artýþ"
"471","artikülasyon"
"472","artrit"
"473","arya"
"474","arz"
"475","arzýhalci"
"476","arzu"
"477","arzuhâl"
"478","arzuhâlci"
"479","as"
"480","asa"
"481","asal sayý"
"482","asalak"
"483","asansör"
"484","asbest"
"485","aseksüel"
"486","aseksüellik"
"487","asetal"
"488","asetil"
"489","aseton"
"490","asfalt"
"491","asýl"
"492","asýlgan"
"493","asýr"
"494","asýrcýlýk"
"495","aside"
"496","asil"
"497","asimilasyon"
"498","asimptot"
"499","asist"
"500","asistan"
"501","asit"
"502","asit borik"
"503","asker"
"504","asker sineði"
"505","askerlik"
"506","askerî darbe"
"507","askerî hükümet"
"508","aský"
"509","aslan"
"510","asma"
"511","asma köprü"
"512","asosiye"
"513","aspiratör"
"514","asrilik"
"515","astal"
"516","astar"
"517","asteroit"
"518","astým"
"519","astroloji"
"520","astronomi"
"521","astronot"
"522","aþ"
"523","aþaðý"
"524","aþama"
"525","aþçý"
"526","aþçýlýk"
"527","aþý"
"528","aþýk"
"529","aþýk kemiði"
"530","aþýlma"
"531","Aþil tendonu"
"532","aþiret"
"533","aþk"
"534","Aþkabatlý"
"535","aþkazan"
"536","aþma"
"537","aþure"
"538","at"
"539","at hýrsýzý"
"540","at nalý"
"541","at yarýþý"
"542","ata"
"543","atak"
"544","atardamar"
"545","atasözü"
"546","ataþ"
"547","ataþe"
"548","Atatürkçü"
"549","Atatürkçülük"
"550","ateist"
"551","ateizm"
"552","atel"
"553","ateþ"
"554","ateþ duvarý"
"555","ateþçi"
"556","ateþkes"
"557","ateþperest"
"558","atýþtýrmalýk"
"559","atkuyruðu"
"560","atlambaç"
"561","atlet"
"562","atlý"
"563","atma"
"564","atmaca"
"565","atmasyon"
"566","atmýk"
"567","atmosfer"
"568","atom"
"569","atom bombasý"
"570","atom enerjisi"
"571","atölye"
"572","atrosite"
"573","av"
"574","av tüfeði"
"575","Av."
"576","avangart"
"577","avanproje"
"578","avantaj"
"579","avantür"
"580","avantüriye"
"581","avantüriyer"
"582","avaz"
"583","avcý"
"584","avcý sinek"
"585","avcýlýk"
"586","averaj"
"587","avize"
"588","avlak"
"589","avlama"
"590","avlu"
"591","AVM"
"592","avokado"
"593","avrat"
"594","avro"
"595","Avrupamerkezcilik"
"596","avuç"
"597","avukat"
"598","ay"
"599","ay çöreði"
"600","ay ýþýðý"
"601","Ay tutulmasý"
"602","aya"
"603","ayak"
"604","ayakçý"
"605","ayakkabý"
"606","ayakkabý numarasý"
"607","ayakkabýcý"
"608","ayar"
"609","ayaz"
"610","aybaþý"
"611","ayçiçeði"
